code,product_name,language,allergens,text,image_url,filename
0726165663040,Milk Chocolate Wafer Cream,en,"gluten, milk, soybeans","Sugar, Wheat Flour. Hydrouenated Paln Kernel Fat, Full Cream Milk Powder, Cocoa Fowder, Soya Lecithin, Sodium Bicarbonate, Ammonitum Piczrbonate, Artificial Flavour (Vanillin). namuan: Gula, Tepung Gandum, Lemak Isirung Sawit Tertidrogen, Serbuk Susu Penuh Krim, Serbuk Koko, Lesitin So, Natrium Bikarbonat Amoniam Bikarbonat, Perisa Tiruan (Vanilin). (TnS Product May tain Traces Of Peanuts, Egg.) Product of Malayial Buatan Malays a • (Additives used are from chemice! and plant origin) Netto /Net WtDerat Be sih : 12g x 12pcs REST BEFORE / GUNA SEBELUM Litter MS1500 1019-03/2035 31-03-2023 Barbonat, Perisa Tiruan (Vanillin Ber",https://images.openfoodfacts.org/images/products/072/616/566/3040/front_en.4.400.jpg,0726165663040_en.jpg
9551022730006,pure 3 triangle cake,en,"eggs, gluten","eggs, wheat flour, white sugar, vegetable oil, salad dressing, complex emulsifier, sodium bicarbonate, sodium pyrophosphate, sodium acid pyrophosphate, fatty acids, sodium stearoyl lactylate, sodium dihydrogen phosphate, xanthan gum, sodium alginate, glucose, calcium carbonate, cocoa powder, edible flavor, sorghum, sodium bicarbonate, citric acid, ascorbic acid, water, citric acid, red cochineal red, monascus purpureus, edible flavoring, edible flavor",https://images.openfoodfacts.org/images/products/955/102/273/0006/front_en.3.400.jpg,9551022730006_en.jpg
9557062331128,Mister Potato Crips Canister Original,en,,rh 30,https://images.openfoodfacts.org/images/products/955/706/233/1128/front_fr.6.400.jpg,9557062331128_en.jpg
8993175538145,Richeese Wafer,en,"gluten, milk, soybeans","Wheat Flour, Sugar, Vegetable Oil (Palm Oil) (contains Antioxidant TBHQ (E319)), Maltodextrin, Whey Powder, Cheese Powder (3.07%) (contains Flavour Enhancer (Monosodium Glutamate (E621) and Disodium 5'-Ribonucleotides (E635)), Colorant (Ponceau 4R (E124) and Sunset Yellow FCF (E110))), Emulsifier Soy Lecithin (E322), Salt, Raising Agent Sodium Bicarbonate (E500(ii)), Vitamin (A, B1, B2, B6 and B12).",https://images.openfoodfacts.org/images/products/899/317/553/8145/front_en.13.400.jpg,8993175538145_en.jpg
9556296307145,sour +,en,"gelatin, sulphur-dioxide-and-sulphites","Glucose, Sugar, Water, Gelling Agent (Gelatin), Acidity Regulators (Citric Acid, Malic Acid, Sodium Citrate, Tartaric Acid Concentrated Apple Juice&quot;, Flavouring Substances, Colouring Substances (Tartrazine, Brilliant Blue). &quot;Contains 5.1% Apple Juice. Contains Edible Gelatin from Bovine and Sulphur Dioxide.",https://images.openfoodfacts.org/images/products/955/629/630/7145/front_en.3.400.jpg,9556296307145_en.jpg
9555319109940,Sweet potato crisps,en,gluten,"Wheat Flour, Vegetable Oil (Palm Oil), Sugar, Fresh Potatoes, Sweet Potato Powder, Raising Agent [Sodium Bicarbonate E500(ii), Ammonium Bicarbonate E503(ii)], Salt, Sweet Potato Flavor, Flavor Enhancer (  Monosodium Glutamate E621), Sodium Acid Pyrophosphate E450(i), Citric Acid E330 and Protease.",https://images.openfoodfacts.org/images/products/955/531/910/9940/front_en.21.400.jpg,9555319109940_en.jpg
9556291509049,Quaker Biskut Oat,en,"eggs, gluten, milk, nuts, peanuts, soybeans","Oats 27% (Instant Oat Flakes, Whole Oat Flour), Wheat 23% (Wheat Flour, Wheat Bran), Sugar, Palm Oil, Whey Powder (Milk), Leavening Agents (Sodium Bicarbonate, Sodium Acid Pyrophosphate, Ammonium Bicarbonate), Inulin, Peanut 2%, Coconut 1%, Almond 1%, Honey 0.5%, Egg, Emulsifier (Soy Lecithin), lodized Salt and Flavourings. All additives are of plant or synthetic origin.",https://images.openfoodfacts.org/images/products/955/629/150/9049/front_en.14.400.jpg,9556291509049_en.jpg
8000500390306,Biscuit filled with hazelnut spread with cocoa,en,"gluten, milk, nuts, soybeans","HAZELNUT SPREAD WITH COCOA (40%) (SUGAR, VEGETABLE FAT (PALM), HAZELNUTS (13%), SKIMMED MILK POWDER (8.7%), FAT-REDUCED COCOA POWDER (7.4%), EMULSIFIER: LECITHIN (SOY), FLAVOURING: VANILLIN), WHEAT FLOUR, VEGETABLE FATS (PALM, PALM KERNEL), ICING CANE SUGAR 8.5%, LACTOSE, WHEAT BRAN, WHOLE MILK POWDER, HONEY, RAISING AGENTS: DISODIUM DIPHOSPHATE, SODIUM BICARBONATE, AMMONIUM BICARBONATE, MALTED BARLEY FLOUR. FAT-REDUCED COCOA POWDER, SALT, POWDERED BARLEY MALT AND CORN EXTRACT, WHEAT STARCH, EMULSIFIER: LECITHIN (SOY), FLAVOURING: VANILLIN. CONTAINS EMULSIFIER AND RAISING AGENT AS PERMITTED FOOD CONDITIONERS AND PERMITTED FLAVOURING SUBSTANCES FOR FOOD USE. ALLERGEN INFORMATION: CONTAINS MILK, WHEAT (GLUTEN), BARLEY (GLUTEN), HAZELNUTS, SOY. STORE IN COOL DRY PLACE, AWAY FROM DIRECT SUNLIGHT.",https://images.openfoodfacts.org/images/products/800/050/039/0306/front_en.99.400.jpg,8000500390306_en.jpg
9555030108703,Himalaya Vajomba (Honey Lime Mints),en,,"Sucrose, Glucose Syrup, Citric Acid (E330), Himalayan Salt, L-Menthol, Honey, Lime Juice, Natural Flavour, Vitamin B3, NETT BERA Vitamin B2, Vitamin B6, Vitami 81, Vitamin B12",https://images.openfoodfacts.org/images/products/955/503/010/8703/front_en.19.400.jpg,9555030108703_en.jpg
9556296307176,Sour Gummy,en,"gelatin, sulphur-dioxide-and-sulphites","Glucose, Sugar, Water, Gelling Agent (Gelatin), Acidity Regulators (Citric Acid, Malic Acid, Sodium Citrate, Tartaric Acid), Concentrated Apple Juice*, Flavouring Substances, Colouring Substance (Tartrazine). *Contains 5.1% Apple Juice. Contains Edible Gelatin from Bovine and Sulphur Dioxide.",https://images.openfoodfacts.org/images/products/955/629/630/7176/front_en.3.400.jpg,9556296307176_en.jpg
