image_name,text,confidence,quality,text_length,product_name,allergens
0000200003080_en,(ALKERSL Oc SALT & VINEGAR,0.6183828680643495,0.6183828680643495,26,walkers,nan
0000200003086_en,4r86 (WALKERS) Mitp CHEESE & ONION New Tpacen,0.5538593737505847,0.5538593737505847,45,Cheese and onion,milk
0000240010787_en,"50r LESSHT"" WALKERS} Bared SEA SALT 19262 Ige Mnanelilici BIG ON Anljour",0.4857845142365595,0.6,72,baked crisps,nan
00005487_en,8 6 1,0.3949259316443152,0.3949259316443152,5,Potato chips,nan
00006910_en,(Qeanut Butteiv Reled Bnetzel Muggeta Ijn *nvJ hunox #uils0],0.2314569122104234,0.5,60,Peanut Butter Filled Pretzel Nuggets,"gluten, peanuts"
0000790870043_en,SKippy Pejaut Butter Chocolate WAFER BARS Fudgt CREAMY,0.6017715452749178,0.6017715452749178,54,Skippy wafer bar,"gluten, milk, peanuts, soybeans"
00016940_en,The pertert poppin' trea BACS NAS Sweet Pop CORN,0.5911952595122288,0.5911952595122288,48,sweet popcorn,nan
00019101_en,SHORTBREAD all butter fingers Halniene Sainsburys Eene DOCC Foltcice[t |artEet,0.4046985631730912,0.65,78,Shortbread All Butter Fingers,"gluten, milk"
0002215426965_en,18 BARS N9 CZALI GuOdheSSL Sweet bars PEANUT Inup tlTud @h 18 BrRS 118-42302 [JE-RS Jnaambrom Dipped SSalty granola |,0.4373313293038123,0.975,117,nan,"gluten, milk, nuts, peanuts, soybeans"
00028325_en,CHILI JAND COOKED CRISPS UHTAAI SWEET,0.7272733620608675,0.7272733620608675,37,sweet Chilli crisps,nan
00041089_en,buT DISSANT,0.5977896718980432,0.5977896718980432,11,Marks & Spencer Frozen Croissanrs,"eggs, gluten, milk"
00041102_en,M8s AAKERY READY TO BAKE PAINS AU HOCOLAT n MCHE buntI 'at,0.5048221892517899,0.5048221892517899,58,Ready to Bake Pains au Chocolat,"eggs, gluten, milk"
00044196_en,CANTINA TOHTILLAS RESTALIRANT STYLE 4 Ightly salted authentic chip,0.6976273218914377,0.6976273218914377,66,Cantina tortillas,nan
0005100000100_en,"WALKERS) READY SALTED WVlIrcX MaNdI TO BE SDS dur Om Potengn"" Lp",0.3907052575254209,0.5333333333333333,64,Ready Salted Crisps,nan
00052368_en,"M&s Belgian milk chocolate coated BRAZIL NUTS Jttam17 17hjona16,21[",0.649771233779899,0.649771233779899,67,Belgian milk chocolate coated brazil nuts,"milk, nuts, soybeans"
00079983_en,"TRADER JOE"" $ Dry Roasted Salted Pistachios] NEWT _ LB) 4549 d .16 02 (0 L",0.475759565286751,0.6166666666666667,74,Dry Roasted & Salted Pistachios,nuts
00080538_en,FIs ROLLS,0.6545970308389124,0.6545970308389124,9,Fig Roll Biscuits,"gluten, milk"
00082372_en,M&s Yilcies,0.5099539788397471,0.5099539788397471,11,Millionaire's Mini Bites,"gluten, milk, soybeans, gluten"
0008346874514_en,"TEXT KETO uade EASY"" KETOPLAN TOAA222 MEAL Newl Slimfast KETO OPTIMAL Low-CARB KETOGENIC NUTRITION MEAL BAR FREE STA rnficIL SALtLNAS @ron PAIAMtEScle Keep WHEY PROTEIN COCONUT Oil MCTS Whipped Peanut Butter Chocolate lenalal 148 02 (429) MEAL BARS | NET WT 7.4 02 (210g) [PRos EN Lose",0.5694101966266695,1.0,285,Whipped peanut butter chocolate meal bar,"milk, peanuts"
0008346874828_en,"TEXT KETOPLAN KETO EASY"" TO 44222 SNACK New! Slimfast KETO OPTIMAL LOW-CARB KETOGENIC NUTRITION FAT BOMB FMEE FREE LdTiICIAL SWEEILNEHS Grom Artigicial fLAyORS Colors Zero SUGAR COCONUT OIL MCTs Peanut Butter Cup MAIURALLY flavored 14 - 0.6 OZ (17g) CUPS | MET WT 8.4 02 (238g) Madt [38EN LOLEp /F""8FI",0.5990672707441081,1.0,301,Keto fat bomb peanut butter cup snacks,"milk, peanuts, soybeans"
00086547_en,"Vule nr (6 Recreie Aonl sumchy [cturcte FTF Gdlleut (ucne Vaa ualutcty Eshtse Mhham [F lu SNN LtEcad lanuuneaad EAlaat @UAG Aaae Selnsbutys ce uk ""00o8""654 pull NAed Setdf",0.0682331099546164,1.0,171,Rich Tea Biscuits,gluten
0009542015190_en,"Sindt LINDOR ASSORteD CHOCOlAte TRUFFLES 1,n ASSORTED",0.3802963244537793,0.4416666666666666,53,Lindor assorted chocolate truffles,"gluten, milk, soybeans"
0009542015206_en,CHEEZIT 61a KIIOS7AP IO FG E0150z (42g cheddhd White,0.5017354015585105,0.5017354015585105,52,Lindor,"gluten, milk, soybeans"
0009542015916_en,"LINDOR TRRESiSTIBLY Smooth Milk With White Milk CHOcOiATE TRUFFLES NETWVTO,8 OZ ""0248) Sindt (Mtk wuh WHte ]",0.4258740343761208,0.9,108,Lindor holiday milk with white chocolate truffles mini bag,"gluten, milk, soybeans"
0009542016173_en,Sindtt LINDOR MLK Jqutfits Gnogoxtt Miit,0.3348438050771895,0.3348438050771895,40,"Lindor, Milk Chocolate Truffles","gluten, milk, soybeans"
0009542016180_en,Sindt LINDOR Jrresisiibly Smootm DARK CHOCOLATE Truffles NETWT 8502 1240312 Sov DARK Windd rd TDOF,0.426092747101874,0.8166666666666667,98,Dark Chocolate Truffles,"gluten, milk, soybeans"
0009542017521_en,Sdt LINDOR ASSORTED chocoln TRUFFLES NTMTAS OZ 24Dy ASSORTED ITOD,0.3996690562334485,0.5416666666666666,65,Irresistibly Smooth Assorted Chocolate Truffles,"gluten, milk, soybeans"
0009542019334_en,sldt 3 GORIID corat Gro Mnttn,0.107610571181796,0.2416666666666666,29,"Lindor, Assorted Chocolate Truffles","gluten, milk, soybeans"
0009542020316_en,Sndl*_ LINDOR ASSORTED,0.6605954886330937,0.6605954886330937,22,Assorted chocolate truffles,"gluten, milk, soybeans"
0009542021085_en,Sidt LINDOR IRRESiSTiBLY Smooth ASSORTED CHOCOLATE TRUFFLES OLHdgi Jal ASSORIED,0.462540544490167,0.6583333333333333,79,Lindor holiday assorted chocolate truffles bag,"gluten, milk, soybeans"
0009542031695_en,Spd}= EXCELLENCE 78% COCOA Snall DARK CHOCOLATE uTuE NET WT 3502 (I(g),0.6447398588362065,0.6447398588362065,70,Excellence 78% Cocoa Dark Chocolate Bar,milk
0009542033750_en,indl * LINDOR IFFESISTBLTShooih CHOEOLRT DfRRKfLes VFT WVT 6 OZ (168317 Cocoi,0.3488163285991418,0.6416666666666667,77,Lindor 70% cocoa extra dark chocolate shell,"gluten, milk, soybeans"
