image_name,product_name,text,allergens,text_length
0888849000463_en,"Chocolate peanut butter protein bar, chocolate peanut butter","QuzsTBAR Yout 01/11/16 0r0i041cp01501} Giddn They Saio ThaT This 'Protlin BAR COULDN T MADL But We FinlLy did it""s Delicious Food PaCKED With CPOTcN T 'MaKIS No compromises Just Read OuR INGrEdilNTs AnD You Ll SEE; CoctalMcoatwoull 20g ONLY 39 NET CaRI OuzSTBAR PROTEIN RAR @IQQQLMDLANITBCIUR Trta GEa War Net W","milk, peanuts",311
20742690_en,Peanut Butter Wafers,Peanut Butter WAFERS Joigs sGeisiot ~6-2 02 (57g) [ ) PACKAGES NETWT i202 (340g),"gluten, milk, peanuts, soybeans",80
0099482497989_en,Kettle Cooked Texas Style Barbecue Chips,[Nutrition Facts sentinas Seoin 10 cenngs Per conane E2 [Ziebut 12 ctizs) Ameunt Earutng Caleries 150 LDaua Total Fate9 SaturatedFang VansFat09 eaan Monatted R Cholesterol 0u2 07 Sodium 0079 Total Carbohydrate 19 Dahg ToaSugas Kre 7gAded8121 Proteln 29 Mtn 07cg 01n073 0eng nd,mustard,276
00667104_en,Completely Cacao Chips,Organte completely cacao cius unSu Uned chort Iuun Luticou {edranarer POT,nuts,73
0860132001418_en,Dark Chocolate Chip Yes Bar,GMocolra 1 8 YES ' Kegan 1 BARo a Paleo ' BEST ` SNACK ? Gluten-Free 15g Nuts TASTING Sg Protein LOLuo G,"nuts, sesame-seeds",104
0602652400650_en,Cranberry Almond Granola Bar,NEW 12 BAR VALUE PACK #IINGREDIENT HcarT Healthy ALMONDS KIND Cranberry Almond I3 Gluten Free 12 BARS %.K MAFS,"nuts, soybeans",110
00956437_en,Chocolate Chip Chewy Coated Granola Bars,"TaadcR Joe{ chocolate chip chewy Coated GRANOLA BARS ~tthnlled cxs. ~clydle = chips AMG _ ""T6'0i","gluten, milk, soybeans",96
0013562493944_en,Organic Chocolate Chip Cookie Bites,CBRTITIED ORGANIO Annies HOMEGROWN Organic Cookie Bites Chocolate Chip Oreamic Annies 10 Orte Choc late IChiR Fntaauausumimtuc,gluten,126
0705599014765_en,Gluten Free Frontier Oat Power Waffles,WhOLE Power WAFFLES 400z GRAINS GLUTEN FREE KODIAK CAKES FRONTIER OAT WAFFLES,"eggs, milk",77
0743504999820_en,Chocolate truffle,Uinox 0iui 010/0j04j suoodsnai burjody QJOld SNOILJj4IQ sillycow FARMSa Unlquely Vermont; ! Monren Hot CHOCOLATI,soybeans,112
